offline_channel,opdet,name,pd_type,x,y,z,slot,daphne_ch
1010,6,C1,Cathode,-1.77636e-14,290.35,187.275,6,32
1011,6,C1,Cathode,-1.77636e-14,290.35,187.275,6,33
1020,4,C2,Cathode,-1.77636e-14,123.85,258.525,6,30
1021,4,C2,Cathode,-1.77636e-14,123.85,258.525,6,31
1030,8,C3,Cathode,-1.77636e-14,42.6,112.025,6,34
1031,8,C3,Cathode,-1.77636e-14,42.6,112.025,6,35
1040,10,C4,Cathode,-1.77636e-14,209.1,40.775,6,36
1041,10,C4,Cathode,-1.77636e-14,209.1,40.775,6,37
1050,7,C5,Cathode,-1.77636e-14,-46.65,187.275,6,0
1051,7,C5,Cathode,-1.77636e-14,-46.65,187.275,6,2
1060,5,C6,Cathode,-1.77636e-14,-213.15,258.525,6,1
1061,5,C6,Cathode,-1.77636e-14,-213.15,258.525,6,3
1070,9,C7,Cathode,-1.77636e-14,-213.15,112.025,6,5
1071,9,C7,Cathode,-1.77636e-14,-213.15,112.025,6,7
1080,11,C8,Cathode,-1.77636e-14,-127.9,40.775,6,4
1081,11,C8,Cathode,-1.77636e-14,-127.9,40.775,6,6
2010,0,M1,Membrane,305.6,417.61,149.65,7,47
2011,0,M1,Membrane,305.6,417.61,149.65,7,45
2020,2,M2,Membrane,229.0,417.61,149.65,7,40
2021,2,M2,Membrane,229.0,417.61,149.65,7,42
2030,1,M3,Membrane,305.6,-417.61,149.65,7,46
2031,1,M3,Membrane,305.6,-417.61,149.65,7,44
2040,3,M4,Membrane,229.0,-417.61,149.65,7,43
2041,3,M4,Membrane,229.0,-417.61,149.65,7,41
2050,12,M5,Membrane,-201.1,417.61,149.65,7,7
2051,12,M5,Membrane,-201.1,417.61,149.65,7,0
2060,18,M6,Membrane,-277.7,417.61,149.65,7,27
2061,18,M6,Membrane,-277.7,417.61,149.65,7,20
2070,13,M7,Membrane,-201.1,-417.61,149.65,7,37
2071,13,M7,Membrane,-201.1,-417.61,149.65,7,30
2080,19,M8,Membrane,-277.7,-417.61,149.65,7,17
2081,19,M8,Membrane,-277.7,-417.61,149.65,7,10
3010,14,-,PMT,-205.9,221.0,408.988,10,4
3020,15,-,PMT,-205.9,-221.0,408.988,10,42
3030,16,-,PMT,-205.9,256.0,-96.1242,10,10
3040,17,-,PMT,-205.9,-221.0,-109.688,10,44
3050,20,-,PMT,-281.7,221.0,408.988,10,0
3060,21,-,PMT,-281.7,-221.0,408.988,10,26
3070,22,-,PMT,-281.7,256.0,-96.1242,10,17
3080,23,-,PMT,-281.7,-221.0,-109.688,10,22
3090,24,-,PMT,-336.474,170.0,455.65,0,0
3100,25,-,PMT,-336.474,1.13687e-13,455.65,10,7
3110,26,-,PMT,-336.474,-170.0,455.65,10,34
3120,27,-,PMT,-336.474,170.0,353.65,0,0
3130,28,-,PMT,-336.474,1.13687e-13,353.65,10,40
3140,29,-,PMT,-336.474,-170.0,353.65,10,46
3150,30,-,PMT,-336.474,405.3,217.75,10,14
3160,31,-,PMT,-336.474,-405.3,217.75,10,30
3170,32,-,PMT,-336.474,405.3,149.65,10,12
3180,33,-,PMT,-336.474,-405.3,149.65,10,20
3190,34,-,PMT,-336.474,170.0,-54.35,10,16
3200,35,-,PMT,-336.474,1.13687e-13,-54.35,10,6
3210,36,-,PMT,-336.474,-170.0,-54.35,10,24
3220,37,-,PMT,-336.474,170.0,-156.35,10,2
3230,38,-,PMT,-336.474,1.13687e-13,-156.35,10,36
3240,39,-,PMT,-336.474,-170.0,-156.35,10,32
