opdet,x,y,z,geom_shape,json_pd_type,json_name,theta_z
0,305.6,417.61,149.65,xarapuca,Membrane,M1,-nan
1,305.6,-417.61,149.65,xarapuca,Membrane,M3,-nan
2,229,417.61,149.65,xarapuca,Membrane,M2,-nan
3,229,-417.61,149.65,xarapuca,Membrane,M4,-nan
4,-1.77636e-14,123.85,258.525,xarapuca,Cathode,C2,1.5708
5,-1.77636e-14,-213.15,258.525,xarapuca,Cathode,C6,1.5708
6,-1.77636e-14,290.35,187.275,xarapuca,Cathode,C1,1.5708
7,-1.77636e-14,-46.65,187.275,xarapuca,Cathode,C5,1.5708
8,-1.77636e-14,42.6,112.025,xarapuca,Cathode,C3,1.5708
9,-1.77636e-14,-213.15,112.025,xarapuca,Cathode,C7,1.5708
10,-1.77636e-14,209.1,40.775,xarapuca,Cathode,C4,1.5708
11,-1.77636e-14,-127.9,40.775,xarapuca,Cathode,C8,1.5708
12,-201.1,417.61,149.65,xarapuca,Membrane,M5,-nan
13,-201.1,-417.61,149.65,xarapuca,Membrane,M7,-nan
14,-205.9,221,408.988,pmt,PMT,-,-nan
15,-205.9,-221,408.988,pmt,PMT,-,-nan
16,-205.9,256,-96.1242,pmt,PMT,-,-nan
17,-205.9,-221,-109.688,pmt,PMT,-,-nan
18,-277.7,417.61,149.65,xarapuca,Membrane,M6,-nan
19,-277.7,-417.61,149.65,xarapuca,Membrane,M8,-nan
20,-281.7,221,408.988,pmt,PMT,-,-nan
21,-281.7,-221,408.988,pmt,PMT,-,-nan
22,-281.7,256,-96.1242,pmt,PMT,-,-nan
23,-281.7,-221,-109.688,pmt,PMT,-,-nan
24,-336.474,170,455.65,pmt,PMT,-,1.5708
25,-336.474,1.13687e-13,455.65,pmt,PMT,-,1.5708
26,-336.474,-170,455.65,pmt,PMT,-,1.5708
27,-336.474,170,353.65,pmt,PMT,-,1.5708
28,-336.474,1.13687e-13,353.65,pmt,PMT,-,1.5708
29,-336.474,-170,353.65,pmt,PMT,-,1.5708
30,-336.474,405.3,217.75,pmt,PMT,-,1.5708
31,-336.474,-405.3,217.75,pmt,PMT,-,1.5708
32,-336.474,405.3,149.65,pmt,PMT,-,1.5708
33,-336.474,-405.3,149.65,pmt,PMT,-,1.5708
34,-336.474,170,-54.35,pmt,PMT,-,1.5708
35,-336.474,1.13687e-13,-54.35,pmt,PMT,-,1.5708
36,-336.474,-170,-54.35,pmt,PMT,-,1.5708
37,-336.474,170,-156.35,pmt,PMT,-,1.5708
38,-336.474,1.13687e-13,-156.35,pmt,PMT,-,1.5708
39,-336.474,-170,-156.35,pmt,PMT,-,1.5708
